Gene,RPKM,mRNA per cell cycle,Time to refire
ydfQ,9.20218,3.334238544,539.8533957
ydzH,4.102701602,3.206649594,561.3335499
ydzR,2.940261155,3.177565334,566.4714367
ydfR,3.24002,3.1850653,565.1375499
ydfS,4.66918,3.220822884,558.8633915
cotP,4.04169,3.205123084,561.6008974
ydgA,1.121616297,3.13206284,574.701113
ydgB,1.7055,3.14667161,572.0329997
ydgC,142.3094899,6.664583437,270.0843972
ydgD,135.137,6.48512774,277.5581411
ydgE,43.1223,4.182919946,430.3214078
vmlR,15.4493,3.490541486,515.6793028
ydgF,228.456,8.81996912,204.0823472
dinB,32.59749121,3.91958923,459.2317956
ydgG,29.3725151,3.838900328,468.8842758
ydgH,53.0153,4.430442806,406.2799316
ydgI,72.1315,4.90873013,366.6936157
ydgJ,64.4958452,4.717686047,381.5429815
ydgK,94.2374,5.461819748,329.5604914
ydhB,19.07236253,3.581190511,502.6261504
ydhC,67.02376915,4.780934704,376.4954159
spoL,585.2400224,17.74670536,101.427277
ydhE,31.5889,3.894354278,462.2075629
ydhF,4.01915,3.204559133,561.6997301
phoB,4.7767,3.223513034,558.3969976
fra,146.4802529,6.768935928,265.9206734
ydhH,61.93466326,4.653605275,386.7968798
ydhI,28.11323442,3.807393125,472.7644193
ydhJ,25.12606647,3.732654183,482.2305822
ydhK,88.1935,5.31060137,338.9446646
pbuE,254.166,9.46323332,190.2098299
aswA,585.2400224,17.74670536,101.427277
gmuB,25.88748423,3.751704855,479.7818777
gmuA,33.4171,3.940095842,456.841679
gmuC,25.82445401,3.750127839,479.9836371
gmuD,30.474,3.86645948,465.5421864
gmuR,44.18739424,4.209568604,427.5972598
gmuE,26.8498,3.775781996,476.7224384
gmuF,25.6131,3.744839762,480.6614206
gmuG,20.68040222,3.621423664,497.0420937
ydhUc,585.2400224,17.74670536,101.427277
ydhUn,585.2400224,17.74670536,101.427277
trnEArg,585.2400224,17.74670536,101.427277
trnEGly,585.2400224,17.74670536,101.427277
rrnE16S,585.2400224,17.74670536,101.427277
rrnE23S,585.2400224,17.74670536,101.427277
rrnE5S,585.2400224,17.74670536,101.427277
trnEMet,585.2400224,17.74670536,101.427277
trnEAsp,585.2400224,17.74670536,101.427277
thiL,148.298,6.81441596,264.1458946
tsaE,159.789,7.10192078,253.4525596
tsaB,130.807,6.37679114,282.2736327
rimI,115.4710858,5.993086567,300.3460704
tsaD,106.315,5.7640013,312.2830663
ydiF,85.7829,5.250288158,342.8383254
moaC,187.103,7.78531706,231.2044566
rex,208.6771066,8.325101207,216.2135877
tatAY,585.2400224,17.74670536,101.427277
tatCY,585.2400224,17.74670536,101.427277
ydiK,102.718847,5.674025552,317.2350888
ydiL,195.5994491,7.997898216,225.0591282
groES,1628.848868,43.85779868,41.04173156
groEL,1394.71,37.9996442,47.36886457
ydzTc,585.2400224,17.74670536,101.427277
ydzT,585.2400224,17.74670536,101.427277
ydzT,585.2400224,17.74670536,101.427277
ydzT,585.2400224,17.74670536,101.427277
ydzTn,585.2400224,17.74670536,101.427277
ydiM,585.2400224,17.74670536,101.427277
ydzU,26.63544739,3.770418894,477.4005358
ydzV,585.2400224,17.74670536,101.427277
ydiN,585.2400224,17.74670536,101.427277
bsuMA,205.859,8.25459218,218.0604397
bsuMB,289.35,10.343537,174.0217104
ydzWc,585.2400224,17.74670536,101.427277
ydzWmc,585.2400224,17.74670536,101.427277
ydzWmb,585.2400224,17.74670536,101.427277
ydzW,585.2400224,17.74670536,101.427277
ydzW,585.2400224,17.74670536,101.427277
ydzWma,585.2400224,17.74670536,101.427277
ydzWn,585.2400224,17.74670536,101.427277
bsuRA,106.54,5.7696308,311.9783678
bsuRB,112.611,5.92152722,303.9756355
bsuRC,122.1646119,6.16055859,292.1812972
ydjB,49.70150333,4.347531613,414.0280417
ydjC,37.37758467,4.039187168,445.6342142
gutR,27.9829,3.804132158,473.1696811
gutB,8.02692,3.304833538,544.656782
gutP,2.80967,3.174297943,567.0545211
ydjE,59.1421,4.583735342,392.6928293
pspA,43.4971,4.192297442,429.358848
ydjG,44.5318,4.218185636,426.7237517
ydjH,41.7521,4.148637542,433.8773831
ydjI,40.8839,4.126915178,436.161133
ydjJ,6.414275675,3.264485177,551.3886271
iolT,2.70128,3.171586026,567.5393905
bdhA,71.20671721,4.885592065,368.4302693
walM,585.2400224,17.74670536,101.427277
ydjN,108.9974095,5.831115186,308.6888087
ydzJ,19.45482881,3.590759817,501.2866613
ydjO,505.0059593,15.7392491,114.3637786
ydjP,54.0921,4.457384342,403.8242749
yeaA,56.6013,4.520164526,398.2155936
cotA,4.40843,3.214298919,559.9976995
gabP,4.06164,3.205622233,561.5134502
ydzX,2.34033,3.162555057,569.1600519
mneS,585.2400224,17.74670536,101.427277
yeaC,63.4341,4.691121182,383.7035818
yeaD,76.6669,5.022205838,358.4082489
yebA,85.9703,5.254976906,342.5324282
guaA,2174.63,57.5132426,31.2971399
gswC,585.2400224,17.74670536,101.427277
pbuG,466.623,14.77890746,121.7952007
yebC,119.325,6.0895115,295.5902128
yebD,11.09267199,3.381538653,532.3020626
yebE,31.0402,3.880625804,463.8427127
yebG,52.6752586,4.42193497,407.0616172
gswD,585.2400224,17.74670536,101.427277
purE,133.111,6.43443722,279.7447451
purK,141.819,6.65231138,270.5826437
purB,164.488,7.21948976,249.3250991
purC,32.7718,3.923950436,458.7213904
purS,32.1357,3.908035214,460.5895038
purQ,26.6837,3.771626174,477.2477221
purL,24.1261,3.707635022,485.4846794
purF,30.422,3.86515844,465.6988912
purM,28.8486,3.825791972,470.4908195
purN,28.33765993,3.813008251,472.0682153
purH,38.0288,4.055480576,443.8438223
purD,40.8732,4.126647464,436.1894288
yezC,22.9476,3.678148952,489.3765923
yecA,3.21357,3.184403521,565.2549961
yezF,0.818695011,3.124483749,576.0951711
yerA,137.677,6.54867854,274.8646141
yerB,662.806,19.68740612,91.42900741
yerC,367.8960143,12.30875828,146.2373344
yerD,17.7625,3.54841775,507.2683452
pcrB,102.9191696,5.679037623,316.9551109
pcrA,142.879,6.67883258,269.508178
ligA,229.449,8.84481398,203.509085
yerH,276.645,10.0256579,179.5393398
yerI,75.4862,4.992664724,360.5289158
sapB,47.1313,4.283225126,420.2440794
opuE,137.2243333,6.537352819,275.3408069
gatC,1195.060498,33.00441366,54.53816022
gatA,1162.01,32.1774902,55.93972646
gatB,1157.22,32.0576444,56.14885416
yerO,56.1399,4.508620298,399.2352163
srfP,585.2400224,17.74670536,101.427277
dagK,473.5237595,14.95156446,120.3887396
rlmCD,216.218,8.51377436,211.4220936
yefB,63.9624,4.704339248,382.6254666
yefC,87.82914962,5.301485323,339.527489
yeeA,89.0289,5.331503078,337.6158606
yeeB,103.26,5.6875652,316.4798884
yeeC,111.5927563,5.896050763,305.2890948
yeeD,55.8419,4.501164338,399.8965301
yezA,73.76755895,4.949664325,363.6610246
yezG,585.2400224,17.74670536,101.427277
yeeF,28.7237,3.822666974,470.8754417
yeeG,0.554525706,3.117874233,577.3164231
rapH,11.1044,3.381832088,532.2558759
phrH,585.2400224,17.74670536,101.427277
yeeI,233.002868,8.933731757,201.4835512
cotK,585.2400224,17.74670536,101.427277
yezE,29.03832065,3.830538783,469.9077864
yesE,9.75249,3.3480073,537.6332364
yesF,6.97593,3.278537769,549.0252445
cotJA,1.86989,3.150784648,571.2862671
cotJB,1.814916701,3.149409216,571.5357633
cotJC,1.96043,3.153049959,570.8758261
yesJ,68.98999133,4.830129583,372.6608094
yesK,8.316708304,3.312084042,543.4644705
yesL,4.39736,3.214021947,560.0459579
yesM,3.96058,3.203093712,561.9567088
yesN,3.512,3.19187024,563.9326992
yesO,0.7615,3.12305273,576.3591446
rhgP,0.62581,3.119657766,576.9863667
rhgQ,0.444178,3.115113334,577.828094
rhgH,0.652294,3.120320396,576.8638382
rhgR,585.2400224,17.74670536,101.427277
rhgT,0.401382,3.114042578,578.0267787
yesU,0.596926,3.118935089,577.1200583
yesV,0.467304816,3.115691966,577.7207822
rhgW,0.567808,3.118206556,577.2548956
rhgX,0.589046,3.118737931,577.1565421
yesY,1.38826,3.138734265,573.4795774
rhgZ,1.35567,3.137918863,573.6285986
yetA,1.69129,3.146316076,572.0976395
lplA,1.01822,3.129475864,575.1761886
lplB,1.07035,3.130780157,574.9365684
lplC,1.7565,3.14794763,571.8011262
lplD,6.87467,3.276004243,549.4498377
yetF,17.06417119,3.530945563,509.7784624
hmoA,342.0937155,11.66318476,154.3317744
yetH,114.99,5.9810498,300.9505121
yetI,585.2400224,17.74670536,101.427277
yetI,585.2400224,17.74670536,101.427277
yezD,7.20575,3.284287865,548.0640169
calJ,585.2400224,17.74670536,101.427277
yetK,41.7542,4.148690084,433.8718881
flvL,585.2400224,17.74670536,101.427277
flvM,585.2400224,17.74670536,101.427277
yetN,58.2547,4.561532594,394.6042175
cypD,2.44785,3.165245207,568.6763212
ltaSA,777.82,22.5650564,79.76935524
spmH,585.2400224,17.74670536,101.427277
spmG,585.2400224,17.74670536,101.427277
yfnF,3.24186,3.185111337,565.1293815
yfnE,11.3735,3.38856497,531.1983143
yfnD,23.1207,3.682479914,488.8010368
yfnC,24.8132,3.724826264,483.2440153
pynN,585.2400224,17.74670536,101.427277
mtrA,585.2400224,17.74670536,101.427277
vdhT,585.2400224,17.74670536,101.427277
yfmS,34.0685,3.95639387,454.9597586
ettA,585.2400224,17.74670536,101.427277
yfmQ,361.4744126,12.1480898,148.1714433
copP,585.2400224,17.74670536,101.427277
copO,585.2400224,17.74670536,101.427277
yfmN,2.925313061,3.177191333,566.5381186
ettM,585.2400224,17.74670536,101.427277
yfmL,160.223,7.11277946,253.0656279
yfmK,23.29699513,3.686890818,488.2162475
yfmJ,36.91,4.0274882,446.9286837
yfmI,8.59897,3.319146229,542.3081346
yfmG,11.322,3.38727644,531.4003837
fecF,585.2400224,17.74670536,101.427277
fecE,585.2400224,17.74670536,101.427277
fecD,585.2400224,17.74670536,101.427277
fecC,585.2400224,17.74670536,101.427277
yfmB,5.40682704,3.239278813,555.6792435
yflT,115.1478896,5.985000198,300.7518698
pelA,585.2400224,17.74670536,101.427277
maeS,585.2400224,17.74670536,101.427277
citS,5.84877,3.250336225,553.7888622
citT,6.73449,3.27249694,550.0387115
yflP,5.279070047,3.236082333,556.2281225
citM,7.00907,3.279366931,548.8864277
yflN,7.02796,3.279839559,548.8073326
nosA,47.5836,4.294541672,419.1366943
acyP,585.2400224,17.74670536,101.427277
yflK,45.3718,4.239202436,424.6081727
yflJ,139.7875871,6.601485429,272.6659052
yflI,189.2241947,7.838389351,229.6390137
yflH,237.579902,9.048249148,198.9335142
mapB,198.7385675,8.076438959,222.8705014
nagP,89.506,5.34344012,336.8616396
ltaSB,653.945,19.4657039,92.47032675
yflD,585.2400224,17.74670536,101.427277
yflB,8.87702,3.32610304,541.1738536
yflA,20.4872,3.616589744,497.7064382
yfkT,21.3563,3.638334626,494.7318444
yfkS,11.11829924,3.382179847,532.2011488
yfkR,7.032284645,3.279947762,548.789228
yfkQ,2.98928,3.178791786,566.2528789
treP,552.5620928,16.92910356,106.3257717
treA,415.01,13.4875502,133.4564078
treR,644.5597838,19.23088579,93.59943268
hypO,585.2400224,17.74670536,101.427277
yfkN,6.14337,3.257707117,552.5358589
sufLB,585.2400224,17.74670536,101.427277
yfkL,62.2472262,4.6614256,386.147963
yfkK,220.299,8.61588098,208.916535
yfkJ,121.294,6.13877588,293.2180674
yfkI,157.7499666,7.050904164,255.2864084
rbn,109.4389219,5.842161826,308.1051251
yfkF,35.0588,3.981171176,452.1282609
chaA,585.2400224,17.74670536,101.427277
yfkD,68.142,4.80891284,374.3049749
mscC,585.2400224,17.74670536,101.427277
yfkA,116.069,6.00804638,299.5982198
yfjT,70.7165,4.87332683,369.357538
pdaA,21.4871,3.641607242,494.287242
yfjR,31.608,3.89483216,462.1508517
yfjQ,120.014,6.10675028,294.7557895
yfjP,38.5577,4.068713654,442.4002653
yfjO,170.754,7.37626508,244.0259373
yfzA,585.2400224,17.74670536,101.427277
dusC,135.206,6.48685412,277.4842731
yfjM,48.02889281,4.305682898,418.0521517
yfjL,46.38517539,4.264557088,422.0836919
acoA,0.582583581,3.118576241,577.1864661
acoB,1.19907,3.134000731,574.3457498
acoC,2.64503,3.170178651,567.791345
acoL,2.84028,3.175063806,566.9177409
acoR,29.1706,3.833848412,469.5021312
sspH,54.37633574,4.46449592,403.1810158
yfjF,77.6004,5.045562008,356.7491584
yfjE,64.3098,4.713031196,381.9198145
yfjD,54.6958,4.472488916,402.460472
yfjC,41.3465,4.13848943,434.9413066
yfjB,35.08689473,3.981874106,452.0484455
yfjA,37.97423817,4.054115439,443.9932772
malA,7.62209,3.294704692,546.3312097
malR,11.1379,3.382670258,532.1239916
malP,4.71775,3.222038105,558.652611
yfiB,585.2400224,17.74670536,101.427277
yfiC,34.2725,3.96149795,454.3735786
catD,41.51942548,4.142816026,434.4870709
catE,50.4945,4.36737239,412.1471309
yfiF,5.32117,3.237135673,556.0471298
yfiG,3.32573,3.187209765,564.7573059
yfiH,2.59492,3.168924898,568.0159858
yfiI,3.44672,3.190236934,564.2214158
linJ,585.2400224,17.74670536,101.427277
linK,585.2400224,17.74670536,101.427277
bifL,585.2400224,17.74670536,101.427277
bifM,585.2400224,17.74670536,101.427277
bifN,585.2400224,17.74670536,101.427277
padR,98.10596076,5.558611138,323.8218964
estB,22.16717926,3.658622825,491.9884028
icaC,585.2400224,17.74670536,101.427277
yfiR,26.75899206,3.773509981,477.009471
yfiS,6.96176,3.278183235,549.0846212
bstA,585.2400224,17.74670536,101.427277
yfiU,9.95296604,3.35302321,536.8289711
yfiV,35.27479579,3.986575391,451.5153543
mprF,107.717,5.79907934,310.3940978
sxzY,585.2400224,17.74670536,101.427277
sxzZ,585.2400224,17.74670536,101.427277
sxzA,585.2400224,17.74670536,101.427277
yfhB,15.9688,3.503539376,513.7661681
yfhC,471.612,14.90373224,120.7751167
yfhD,64.47106171,4.717065964,381.5931373
yfhE,40.54042704,4.118321485,437.0712696
yfhF,38.4684,4.066479368,442.6433377
recX,107.85,5.802407,310.2160879
yfhH,114.3039956,5.96388597,301.8166358
yfhI,169.278,7.33933556,245.2538088
sspK,90.50953901,5.368548666,335.2861475
yfhJ,110.1475483,5.859891658,307.1729146
yfhK,87.8569397,5.302180631,339.4829647
spdL,585.2400224,17.74670536,101.427277
ephM,585.2400224,17.74670536,101.427277
csbB,193.719,7.95084938,226.3909067
yfhO,127.213,6.28686926,286.3110279
yfhP,102.395,5.6659229,317.6887564
mutY,129.719,6.34956938,283.4837911
yfhS,380.346,12.62025692,142.6278412
fabL,406.9196664,13.28513005,135.4898291
sspE,439.127,14.09095754,127.7414963
ygaB,3.01779,3.179505106,566.1258404
ygaC,175.2158023,7.487899374,240.3878458
ygaD,119.807,6.10157114,295.0059843
ygaE,222.477,8.67037454,207.6034884
gsaB,179.492,7.59488984,237.0014626
bcp,585.2400224,17.74670536,101.427277
perR,941.0937904,26.65016664,67.54179156
ygzB,81.45364203,5.141970124,350.060377
ygxA,162.0590721,7.158717984,251.4416693
rrnD16S,585.2400224,17.74670536,101.427277
rrnD23S,585.2400224,17.74670536,101.427277
rrnD5S,585.2400224,17.74670536,101.427277
asnTA,585.2400224,17.74670536,101.427277
trnDSer,585.2400224,17.74670536,101.427277
trnDGlu,585.2400224,17.74670536,101.427277
trnDVal,585.2400224,17.74670536,101.427277
trnDMet,585.2400224,17.74670536,101.427277
trnDAsp,585.2400224,17.74670536,101.427277
trnDPhe,585.2400224,17.74670536,101.427277
trnDThr,585.2400224,17.74670536,101.427277
trnDTyr,585.2400224,17.74670536,101.427277
trnDTrp,585.2400224,17.74670536,101.427277
trnDHis,585.2400224,17.74670536,101.427277
trnDGln,585.2400224,17.74670536,101.427277
glyTB,585.2400224,17.74670536,101.427277
cysTA,585.2400224,17.74670536,101.427277
leuTA,585.2400224,17.74670536,101.427277
leuTB,585.2400224,17.74670536,101.427277
spo0M,330.8948104,11.38298816,158.1307101
ygzA,18.30399369,3.561965922,505.3389166
ygzC,4.411432136,3.214374032,559.9846135
ygaJ,11.7404,3.397744808,529.7631522
tswD,585.2400224,17.74670536,101.427277
thiC,9.49325,3.341521115,538.6768295
ygaK,1.52797,3.142229809,572.8416154
senS,0.352729,3.11282528,578.2528213
katA,197.4,8.042948,223.7985376
ssuB,0.181673,3.108545458,579.0489552
ssuA,0.302945,3.111579684,578.4843015
ssuC,0.999291348,3.12900227,575.2632453
ssuD,1.68786,3.146230257,572.1132444
ygaN,13.12162489,3.432303055,524.429216
rpsNB,5.254874217,3.235476953,556.3321965
ygaO,118.611,6.07164722,296.4599119
ygzD,151.093,6.88434686,261.4627119
trnSLGly1,585.2400224,17.74670536,101.427277
yhzB,105.544,5.74471088,313.3316955
queG,44.4348,4.215758696,426.9694093
yhbB,7.25285,3.285466307,547.8674355
trmL,330.44,11.3716088,158.2889485
yhbD,17.93607949,3.552760709,506.6482512
yhbE,25.3343,3.737864186,481.5584276
yhbF,34.8544,3.976057088,452.7097977
prkA,3.04508,3.180187902,566.0042915
yhbH,5.11413,3.231955533,556.9383557
yhbI,109.1889658,5.835907924,308.435298
yhbJ,159.5,7.09469,253.7108739
yhcA,110.373,5.86553246,306.8775107
yhcB,131.344858,6.390248347,281.6791934
yhcC,105.661,5.74763822,313.1721119
yhcD,1.51909377,3.142007726,572.882105
yhcE,123.794,6.20132588,290.260508
yhcF,189.231,7.83855962,229.6340255
yhcG,214.084,8.46038168,212.7563588
yhcH,196.8711089,8.029715145,224.1673543
yhcI,187.823,7.80333146,230.6707089
cspB,30964.24196,777.8293338,2.314132319
yhcJ,292.8319007,10.43065416,172.5682755
dgcK,585.2400224,17.74670536,101.427277
tcyP,61.5786,4.644696572,387.5387707
yhcM,11.2827,3.386293154,531.5546877
yhcN,4.61518,3.219471804,559.0979235
yhcO,2.628330961,3.169760841,567.8661863
yhcQ,585.2400224,17.74670536,101.427277
mncR,585.2400224,17.74670536,101.427277
srtA,17.6258,3.544997516,507.7577606
yhcT,30.26367139,3.861197058,466.1766734
yhcU,48.81567938,4.325368298,416.1495336
yhcV,22.3996,3.664437992,491.2076569
glpW,131.3132279,6.389456962,281.7140816
yhcX,163.127,7.18543754,250.5066657
yhzG,62.6346,4.671117692,385.3467454
yhxA,110.946,5.87986892,306.1292734
glpP,150.1044748,6.859613959,262.4054372
glpF,1101.36,30.6600272,58.70836279
glpK,1696.84,45.5589368,39.50926265
glpD,2763.75,72.253025,24.91245176
pgcA,1015.35,28.508057,63.14004494
yhcY,28.2425,3.81062735,472.3631661
yhcZ,20.33237553,3.612716036,498.2401003
azr,585.2400224,17.74670536,101.427277
yhdB,4.40694,3.214261639,560.0041945
yhdC,4.02373,3.204673725,561.679645
lytF,60.10166642,4.607743694,390.6467286
nsrR,75.5416,4.994050832,360.4288504
ygxB,31.6652,3.896263304,461.9810982
spoVR,2.94518,3.177688404,566.4494977
phoA,9.72119,3.347224174,537.7590226
lytE,612.1864234,18.42090431,97.71507247
citR,23.6256,3.695112512,487.1299572
citA,23.144153,3.683066708,488.72316
yhdF,37.91875072,4.052727143,444.1453709
bcaP,0.482921,3.116082683,577.6483434
yhdH,75.2141,4.985856782,361.0212003
yhdI,18.6736,3.571213472,504.0303567
yhdJ,5.51053543,3.241873596,555.2344798
asiMB,585.2400224,17.74670536,101.427277
asiMA,585.2400224,17.74670536,101.427277
sigM,166.604,7.27243208,247.5100462
akrN,585.2400224,17.74670536,101.427277
plsC,302.254,10.66639508,168.7542967
yhdP,306.083,10.76219666,167.2521007
cueR,197.907208,8.055638344,223.4459795
yhdR,36.9488,4.028458976,446.8209831
yhdT,68.5639,4.819468778,373.485146
crcBA,68.7318,4.823669636,373.1598836
crcBB,585.2400224,17.74670536,101.427277
yhdW,85.8057,5.250858614,342.8010793
yhdX,17.2984,3.536805968,508.9337714
mscY,585.2400224,17.74670536,101.427277
srtN,35.4208,3.990228416,451.1019953
yheN,215.06,8.4848012,212.1440394
dat,35.592,3.99451184,450.6182663
nhaC,85.0528,5.232021056,344.0353127
nhaX,49.70666165,4.347660674,414.0157512
bmrB,585.2400224,17.74670536,101.427277
bmrC,585.2400224,17.74670536,101.427277
bmrD,585.2400224,17.74670536,101.427277
yheG,49.9717,4.354291934,413.3852363
yheF,0.369841619,3.113253437,578.1732956
sspB,2.34931599,3.162779886,569.1195925
yheE,12.3052,3.411876104,527.5689812
spaD,585.2400224,17.74670536,101.427277
spaC,585.2400224,17.74670536,101.427277
yheB,86.0585,5.25718367,342.3886463
yheA,780.7097853,22.63735883,79.51457649
yhaZ,25.166,3.73365332,482.1015359
yhaX,54.7499,4.473842498,402.3387057
hemZ,105.9423304,5.754677107,312.7890526
khtU,585.2400224,17.74670536,101.427277
khtT,56.73962887,4.523625514,397.9109222
khtS,69.5665772,4.844555762,371.5510954
yhaR,1.33376,3.137370675,573.7288278
yhzD,1.974287524,3.153396674,570.8130585
yhaQ,52.1402,4.408547804,408.2977162
yhaP,61.61064218,4.645498267,387.4718914
yhaO,42.8415,4.17589433,431.04539
sbcE,54.8856,4.477237712,402.033601
yhaM,132.4361333,6.417552055,280.480779
yhaL,17.07810536,3.531294196,509.7281337
prsA,1328.27,36.3373154,49.53585536
sscA,11.48520931,3.391359937,530.7605307
sscB,585.2400224,17.74670536,101.427277
yhaJ,158.5469688,7.070845159,254.566457
yhaI,119.127,6.08455754,295.8308781
scoC,116.781,6.02586062,298.7125182
yhaH,254.5598474,9.473087382,190.0119705
yhzF,39.05449429,4.081143447,441.0528626
trpP,408.5439202,13.32576888,135.0766335
serC,131.813,6.40196126,281.1638382
hinT,253.3216313,9.442107215,190.6354121
ecsA,82.8437887,5.176751593,347.7083974
ecsB,85.5123,5.243517746,343.2809971
ecsC,106.971,5.78041442,311.3963583
sndC,585.2400224,17.74670536,101.427277
yhfA,6.17124,3.258404425,552.4176147
yhgB,17.71466253,3.547220857,507.4395063
hmoB,150.089,6.85922678,262.4202491
pbpF,41.6329,4.145655158,434.1895144
hemE,194.045,7.9590059,226.1588976
hemH,323.202,11.19051404,160.8505198
hemY,259.393,9.59401286,187.6170093
yhgD,85.64466108,5.24682942,343.0643263
yhgE,100.941,5.62954382,319.7417158
fabHB,264.056,9.71068112,185.3628986
yhfC,3.209315341,3.18429707,565.2738926
yhfE,38.88038032,4.076787116,441.5241584
yhfF,48.5573,4.318903646,416.7724375
gltT,1136.85,31.547987,57.05593831
yhfH,1.574285873,3.143388633,572.630435
yhfI,122.862,6.17800724,291.3560846
lplJ,159.174,7.08653348,254.0028923
yhfK,166.245,7.2634499,247.8161239
lcfB,8.63569,3.320064964,542.1580661
yhfM,8.208367568,3.309373357,543.9096185
yhfN,11.5765,3.39364403,530.4033022
aprE,2.57991,3.168549348,568.0833095
yhfO,32.0231,3.905217962,460.9217763
yhfP,90.0259,5.356448018,336.043586
yhfQ,393.583,12.95144666,138.9806133
phoE,85.34210018,5.239259347,343.5600112
yhfS,11.21445309,3.384585616,531.8228593
yhfT,10.73793603,3.372663159,533.7028677
bioY,1.82589,3.149683768,571.4859436
hemAT,33.38,3.9391676,456.9493311
yhfW,0.79122,3.123796324,576.221947
yhxC,0.841124,3.125044922,575.99172
yhzC,16.65346923,3.5206698,511.2663505
comK,10.856,3.37561712,533.235831
yhxD,31.4799,3.891627098,462.5314694
yhjA,192.4503832,7.919108588,227.2983102
yhjB,4.48182,3.216135136,559.6779749
yhjC,2.624203835,3.16965758,567.8846862
yhjD,7.998907997,3.304132678,544.7723125
yhjE,54.6934,4.472428868,402.4658755
sipV,57.4427,4.541216354,396.3695758
yhjG,4.00418,3.204184584,561.7653893
yhjH,26.08183132,3.75656742,479.1608399
glcP,7.31606,3.287047821,547.6038372
ntdC,6.8536,3.275477072,549.5382689
ntdB,4.1131,3.206909762,561.2880104
ntdA,3.055395148,3.180445987,565.9583617
ntdR,585.2400224,17.74670536,101.427277
yhjN,21.5669,3.643603838,494.016386
yhjO,0.926572,3.127182831,575.5979413
yhjP,18.74,3.5728748,503.7959908
yhjQ,4.487640708,3.216280771,559.6526325
yhjR,4.19893,3.209057229,560.9124025
addB,35.9276,4.002908552,449.6730257
addA,57.7944,4.550015888,395.6030142
sbcD,51.3509,4.388799518,410.1349339
sbcC,71.2126,4.885739252,368.41917
hlpB,585.2400224,17.74670536,101.427277
gerPF,6.37812,3.263580562,551.5414636
gerPE,5.507643667,3.241801245,555.2468718
gerPD,5.988460423,3.25383128,553.1940181
gerPC,5.98955,3.253858541,553.1893834
gerPB,1.499522913,3.141518063,572.9713991
gerPA,1.78271,3.148603404,571.6820345
pchI,585.2400224,17.74670536,101.427277
yisJ,10.0276,3.354890552,536.5301705
mblK,585.2400224,17.74670536,101.427277
yisL,202.087,8.16021674,220.5823763
wprA,282.179,10.16411858,177.0935655
yisN,2.42955,3.164787341,568.7585945
asnO,2.06934,3.155774887,570.38289
yizA,10.23927452,3.360186648,535.6845284
farP,585.2400224,17.74670536,101.427277
yisQ,19.4171,3.589815842,501.4184792
yisR,26.04226853,3.755577559,479.2871328
iolQ,585.2400224,17.74670536,101.427277
iolX,585.2400224,17.74670536,101.427277
yisT,4.81521,3.224476554,558.2301405
yisU,1.94001,3.15253905,570.9683437
yisV,15.8414,3.500351828,514.2340223
yisX,72.44174271,4.916492403,366.1146713
yisY,6.02918,3.254850084,553.0208623
yisZ,3.99642,3.203990428,561.7994311
yitA,2.22853,3.159757821,569.6639117
yitB,1.516931228,3.141953619,572.8919704
slpH,1.531678261,3.14232259,572.8247016
slpS,1.175412288,3.133408815,574.4542465
yitE,1.254637128,3.135391021,574.0910744
yitF,6.836353204,3.275045557,549.6106752
yitG,6.07228,3.255928446,552.8377021
yitH,60.1061,4.607854622,390.6373242
yitI,61.2009,4.635246518,388.3288608
samT,1.27857,3.135989821,573.9814548
mswK,585.2400224,17.74670536,101.427277
yitK,90.2815,5.36284313,335.6428589
yitL,174.313,7.46531126,241.1151977
yitM,2.588940006,3.168775279,568.0428057
yitO,2.10272,3.156610054,570.2319796
yitP,1.001580785,3.129059551,575.2527143
yizB,41.1103252,4.132580337,435.5632204
yitQ,28.80255279,3.824639871,470.632546
yitR,37.68362108,4.046844199,444.7910301
nprB,3.41212,3.189371242,564.3745626
fakBB,585.2400224,17.74670536,101.427277
yitT,162.2198408,7.162740417,251.3004654
ipi,160.6572813,7.123645178,252.6796261
yizC,69.958,4.85434916,370.8015103
ribZC,585.2400224,17.74670536,101.427277
yitV,68.2035,4.81045157,374.1852451
yitW,264.7596434,9.728286278,185.0274497
yitY,72.9965,4.93037243,365.0839821
yitZ,76.8244,5.026146488,358.1272461
argC,1.74937,3.147769237,571.8335317
argJ,1.02959,3.129760342,575.1239084
argB,0.599231,3.11899276,577.1093871
argD,0.509254197,3.11674154,577.5262327
carA,0.657631,3.120453928,576.8391528
carB,2.3107,3.161813714,569.2935014
argF,5.18953,3.233842041,556.6134577
yjzC,43.74152582,4.198412976,428.733431
yjzD,947.852,26.81925704,67.11595319
yjaU,0.840831184,3.125037596,575.9930703
yjaV,3.8383,3.200034266,562.4939767
med,309.133,10.83850766,166.074524
comZ,431.41,13.8978782,129.5161732
yjzB,84.26275031,5.212254013,345.3400382
fabHA,614.8946961,18.4886653,97.3569466
fabF,767.082,22.29639164,80.73055179
yjaZ,0.444277,3.115115811,577.8276345
appD,0.330215,3.112261979,578.3574815
appF,0.752489,3.122827275,576.4007553
appAn,585.2400224,17.74670536,101.427277
appAc,585.2400224,17.74670536,101.427277
appB,2.679361122,3.171037615,567.6375428
appC,2.9866,3.178724732,566.2648237
yjbA,4.42106,3.214614921,559.9426507
trpS,284.901,10.23222302,175.9148522
tboWA,585.2400224,17.74670536,101.427277
