Gene,RPKM,mRNA per cell cycle,Time to refire
rplD,13262.3,334.926746,5.374309521
rplW,15736.1,396.821222,4.536047722
rplB,14429.7,364.135094,4.943220331
rpsS,585.2400224,17.74670536,101.427277
rplV,16350.6,412.196012,4.366854476
rpsC,12315.8,311.245316,5.783219562
rplP,11168.91966,282.5503699,6.370545544
rpmC,9801.969587,248.3492791,7.247856755
rpsQ,14061.62902,354.9259581,5.071480288
rplNA,15060.2,379.910204,4.737961711
rplX,16520.3,416.441906,4.322331576
rplE,11234.40051,284.1887008,6.33381973
rpsNA,13198.5081,333.3306727,5.400043103
rpsH,13070.00665,330.1155664,5.452635935
rplF,12024.8,303.964496,5.921744229
rplR,15851.7,399.713534,4.503225052
rpsE,10726.4,271.478528,6.630358626
rpmD,11489.23239,290.5645944,6.194835967
rplO,14450.7,364.660514,4.936097907
secY,11705.3,295.970606,6.081685017
adk,10809.38222,273.5547431,6.580035788
mapA,11209.8,283.573196,6.34756749
ybzG,15495.1,390.791402,4.606037878
infA,16698.1,420.890462,4.276647162
rpmJ,10121.95922,256.3554197,7.021501641
rpsM,9067.874456,229.9822189,7.826692032
rpsK,9794.576778,248.164311,7.253258911
rpoA,13044.56167,329.478933,5.463171753
rplQ,8995.995987,228.1838196,7.888377025
ecfA,257.595,9.5490269,188.5008827
ecfAB,292.179,10.41431858,172.8389607
ecfT,323.209,11.19068918,160.8480024
truA,1281.69,35.1718838,51.17724175
ldlM,585.2400224,17.74670536,101.427277
rplM,13519.69384,341.3667399,5.272921435
rpsI,8172.57124,207.5817324,8.671283253
ybaJ,127.4947868,6.293919566,285.9903088
ybaK,4.881655614,3.226139023,557.9424777
cwlD,6.112939997,3.256945759,552.6650222
salA,395.718,13.00486436,138.4097481
gerD,50.57420136,4.369366518,411.9590317
kbaA,32.17964086,3.909134614,460.4599681
pdaB,585.2400224,17.74670536,101.427277
rrnI16S,585.2400224,17.74670536,101.427277
rrnI23S,585.2400224,17.74670536,101.427277
rrnI5S,585.2400224,17.74670536,101.427277
trnIAsn,585.2400224,17.74670536,101.427277
trnIThr,585.2400224,17.74670536,101.427277
trnIGly,585.2400224,17.74670536,101.427277
trnIArg,585.2400224,17.74670536,101.427277
trnIPro,585.2400224,17.74670536,101.427277
trnIAla,585.2400224,17.74670536,101.427277
rrnH16S,585.2400224,17.74670536,101.427277
rrnH23S,585.2400224,17.74670536,101.427277
rrnH5S,585.2400224,17.74670536,101.427277
rrnG16S,585.2400224,17.74670536,101.427277
rrnG23S,585.2400224,17.74670536,101.427277
rrnG5S,585.2400224,17.74670536,101.427277
ybaR,140.491,6.61908482,271.9409177
ybaS,63.6324,4.696082648,383.2981945
eesA,585.2400224,17.74670536,101.427277
feuC,40.1588,4.108773176,438.0869722
feuB,40.45633757,4.116217566,437.2946695
feuA,60.421,4.61573342,389.9705282
btr,29.0489,3.830803478,469.8753174
ybbC,5.79666,3.249032433,554.0110901
nagZ,4.71878,3.222063876,558.6481428
amiE,3.8098,3.199321196,562.6193463
murP,585.2400224,17.74670536,101.427277
murR,585.2400224,17.74670536,101.427277
murQ,10.4061,3.364360622,535.0199346
ybbJ,8.53123,3.317451375,542.5851947
ybbK,10.7168698,3.372136082,533.7862874
trnSLGlu2,585.2400224,17.74670536,101.427277
trnSLVal1,585.2400224,17.74670536,101.427277
trnSLThr1,585.2400224,17.74670536,101.427277
trnSLTyr1,585.2400224,17.74670536,101.427277
trnSLGln2,585.2400224,17.74670536,101.427277
sigW,803.7942798,23.21493288,77.53629999
rsiW,739.84,21.6147968,83.27628599
cdaA,585.2400224,17.74670536,101.427277
cdaR,585.2400224,17.74670536,101.427277
glmM,383.388,12.69636776,141.7728309
glmSA,585.2400224,17.74670536,101.427277
glmS,977.404,27.55864808,65.3152504
ybbU,585.2400224,17.74670536,101.427277
alkA,23.22379187,3.685059273,488.4589003
adaA,3.55059,3.192835762,563.7621645
adaB,6.028804586,3.254840691,553.0224582
ndhF,53.7069,4.447746638,404.699311
ybcC,71.7715,4.89972293,367.3677115
ybcF,88.7512839,5.324557123,338.0562849
ybcH,119.0043417,6.081488629,295.9801637
ybcI,118.822,6.07692644,296.2023677
ybzH,188.1067263,7.810430292,230.4610543
ybcL,14.8255,3.47493401,517.9954482
ybcM,585.2400224,17.74670536,101.427277
skfA,585.2400224,17.74670536,101.427277
skfB,4.30484,3.211707097,560.4496132
skfC,5.215,3.2344793,556.5037934
skfE,8.79472,3.324043894,541.5090947
skfF,5.06376,3.230695275,557.155611
skfG,7.145161749,3.282771947,548.3171019
skfH,8.797435684,3.324111841,541.498026
ybdG,12.70618852,3.421908837,526.0221958
ybdJ,18.3262,3.562521524,505.2601052
ybdK,21.97491878,3.653812468,492.6361207
ybzI,131.122,6.38467244,281.9251915
ybdM,23.8538,3.700822076,486.3784216
ybdN,4.34128,3.212618826,560.2905597
ybdO,8.19225,3.308970095,543.9759044
ybxG,77.64381637,5.046648286,356.6723691
csgA,2.037268666,3.154972462,570.5279592
ybxH,2.06126,3.155572725,570.4194315
ybxI,1.76628,3.148192326,571.7566825
cypC,18.1563,3.558270626,505.8637156
ybyB,347.2746004,11.7928105,152.6353705
ybeC,78.709,5.07329918,354.7987091
glpQA,1136.730326,31.54499276,57.06135404
glpT,878.28,25.0785656,71.77443992
ybeF,7.214875947,3.284516196,548.0259169
ybfA,6.50842,3.266840668,550.9910592
ybfB,12.25791356,3.410692997,527.7519851
ybfEc,585.2400224,17.74670536,101.427277
ybfEn,585.2400224,17.74670536,101.427277
ybfF,79.1065,5.08324463,354.1045397
ybfG,29.9074,3.852283148,467.2553732
ybfH,19.73536198,3.597778757,500.3086965
ybfI,14.0018,3.454325036,521.0858797
purT,27.0291,3.780268082,476.1567066
mpr,8.920873404,3.327200253,540.9953905
ybfJ,8.708302977,3.32188174,541.8615534
cesB,585.2400224,17.74670536,101.427277
pssA,289.8983211,10.35725599,173.791205
ybfM,300.023,10.61057546,169.6420714
psd,326.715,11.2784093,159.5969744
ybfN,60.17213496,4.609506817,390.4973073
ybfO,6.80523,3.274266855,549.7413864
ybfP,7.545971994,3.292800219,546.6471939
ybfQ,299.0578599,10.58642765,170.0290276
gltP,2.31866,3.162012873,569.2576445
gamP,39.2914,4.087070828,440.4132142
gamA,585.2400224,17.74670536,101.427277
gamR,585.2400224,17.74670536,101.427277
ybgB,31.2932,3.886955864,463.0873267
ilvE,6.54278,3.267700356,550.846101
ybgF,18.6137,3.569714774,504.2419672
ybgG,11.0998,3.381716996,532.2739904
glnT,1.39324,3.138858865,573.4568127
glsA,0.638784,3.119982376,576.9263359
glnJ,20.4583,3.615866666,497.8059664
glnL,29.2418,3.835629836,469.2840751
kdgD,585.2400224,17.74670536,101.427277
gucD,585.2400224,17.74670536,101.427277
gudP,3.93107,3.202355371,562.0862744
gudD,0.816847,3.124437512,576.1036965
garR,585.2400224,17.74670536,101.427277
garD,21.802,3.64948604,493.2201357
